NAME,LONGITUDE,LATITUDE,POPULATION,AREA
AFRO:GHANA:UPPER_WEST:WA_EAST,-2.0350,10.0483,118843,4315.7
AFRO:GHANA:UPPER_WEST:WA_MUNICIPAL,-2.4653,10.0322,82924,581.9
AFRO:GHANA:UPPER_WEST:WA_WEST,-2.6465,9.8897,78793,1497.6
AFRO:GHANA:VOLTA:ADAKLU,0.5477,6.4271,50530,804.3
AFRO:GHANA:VOLTA:AFADZATO_SOUTH,0.4143,6.9086,173202,555.3
AFRO:GHANA:VOLTA:AGOTIME_ZIOPE,0.6930,6.4859,26319,316.6
AFRO:GHANA:VOLTA:AKATSI_NORTH,0.8451,6.3008,40404,315.2
AFRO:GHANA:VOLTA:AKATSI_SOUTH,0.7833,6.1464,121437,538.6
AFRO:GHANA:VOLTA:ANLOGA,0.8037,5.8224,72309,236.9
AFRO:GHANA:VOLTA:CENTRAL_TONGU,0.5699,6.1819,71027,685.1
AFRO:GHANA:VOLTA:HOHOE_MUNICIPAL,0.4976,7.1620,237720,686.9
AFRO:GHANA:VOLTA:HO_MUNICIPAL,0.5136,6.6711,241536,576.1
AFRO:GHANA:VOLTA:HO_WEST,0.3627,6.5555,139575,1006.8
AFRO:GHANA:VOLTA:KETA_MUNICIPAL,0.9083,5.9437,86154,518.9
AFRO:GHANA:VOLTA:KETU_NORTH,0.9602,6.1788,108442,425.3
AFRO:GHANA:VOLTA:KETU_SOUTH,1.0830,6.1031,155703,278.9
AFRO:GHANA:VOLTA:KPANDO_MUNICIPAL,0.2953,7.0106,60892,315.2
AFRO:GHANA:VOLTA:NORTH_DAYI,0.2350,6.8274,50919,465.2
AFRO:GHANA:VOLTA:NORTH_TONGU,0.3131,6.1692,87903,1136.1
AFRO:GHANA:VOLTA:SOUTH_DAYI,0.2180,6.5946,53374,360.0
AFRO:GHANA:VOLTA:SOUTH_TONGU,0.6558,5.9766,113666,646.1
AFRO:GHANA:WESTERN:AHANTA_WEST_MUNICIPAL,-1.9851,4.8539,122768,556.9
AFRO:GHANA:WESTERN:EFFIA_KWESIMINTSIM_MUNICIPAL,-1.7878,4.9641,307511,105.3
AFRO:GHANA:WESTERN:ELLEMBELLE,-2.3933,5.1228,87918,1000.1
AFRO:GHANA:WESTERN:JOMORO,-2.6727,5.1678,187823,1501.1
AFRO:GHANA:WESTERN:MPOHOR,-1.8575,5.0632,38414,527.1
AFRO:GHANA:WESTERN:NZEMA_EAST,-2.2129,5.1065,54246,1089.0
AFRO:GHANA:WESTERN:PRESTEA_HUNI_VALLEY,-1.9951,5.4566,166302,1817.3
AFRO:GHANA:WESTERN:SEKONDI_TAKORADI_METROPOLIS,-1.7313,4.9637,480817,87.0
AFRO:GHANA:WESTERN:SHAMA,-1.6456,5.0564,236843,194.7
AFRO:GHANA:WESTERN:TARKWA_NSUAEM,-2.0248,5.1560,85057,909.3
AFRO:GHANA:WESTERN:WASSA_AMENFI_CENTRAL,-2.2909,5.7470,86023,1853.3
AFRO:GHANA:WESTERN:WASSA_AMENFI_EAST,-2.0211,5.8388,91586,1564.7
AFRO:GHANA:WESTERN:WASSA_AMENFI_WEST,-2.4696,5.7176,64165,1455.2
AFRO:GHANA:WESTERN:WASSA_EAST,-1.6607,5.3471,77676,1659.5
AFRO:GHANA:WESTERN_NORTH:AOWIN,-2.7629,5.7604,118916,2621.0
AFRO:GHANA:WESTERN_NORTH:BIA_EAST,-3.0075,6.8356,53627,786.6
AFRO:GHANA:WESTERN_NORTH:BIA_WEST,-3.0912,6.6095,71725,1292.0
AFRO:GHANA:WESTERN_NORTH:BIBIANI_ANHWIASO_BEKWAI_MUNICIPAL,-2.2614,6.2898,139651,837.5
AFRO:GHANA:WESTERN_NORTH:BODI,-2.8205,6.2491,45941,664.9
AFRO:GHANA:WESTERN_NORTH:JUABOSO,-2.9248,6.4188,72622,1374.9
AFRO:GHANA:WESTERN_NORTH:SEFWI_AKONTOMBRA,-2.6936,6.0916,95128,1124.3
AFRO:GHANA:WESTERN_NORTH:SEFWI_WIAWSO,-2.5317,6.3119,153303,1015.7
AFRO:GHANA:WESTERN_NORTH:SUAMAN,-3.0257,6.1147,25528,401.6
